950	1000
1950	2000
2950	3000
3950	4000
4950	5000
5950	6000
6950	7000
7950	8000
8950	9000
9950	10000
10950	11000
11950	12000
12950	13000
13950	14000
14950	15000
15950	16000
16950	17000
17950	18000
18950	19000
19950	20000
20950	21000
21950	22000
22950	23000
23950	24000
24950	25000
25950	26000
26950	27000
27950	28000
28950	29000
29950	30000
30950	31000
31950	32000
32950	33000
33950	34000
34950	35000
35950	36000
36950	37000
37950	38000
38950	39000
39950	40000
40950	41000
41950	42000
42950	43000
43950	44000
44950	45000
45950	46000
46950	47000
47950	48000
48950	49000
49950	50000
50950	51000
51950	52000
52950	53000
53950	54000
54950	55000
55950	56000
56950	57000
57950	58000
58950	59000
59950	60000
60950	61000
61950	62000
62950	63000
63950	64000
64950	65000
65950	66000
66950	67000
67950	68000
68950	69000
69950	70000
70950	71000
71950	72000
72950	73000
73950	74000
74950	75000
75950	76000
76950	77000
77950	78000
78950	79000
79950	80000
80950	81000
81950	82000
82950	83000
83950	84000
84950	85000
85950	86000
86950	87000
87950	88000
88950	89000
89950	90000
90950	91000
91950	92000
92950	93000
93950	94000
94950	95000
95950	96000
96950	97000
97950	98000
98950	99000
99950	100000
